start_date,end_date,period,info
2021-02-01,2021-02-28,Texas államban hóviharok,Texas államban hóviharok miatt chip gyárak zártak be ideiglenesen
2021-04-01,2021-06-30,Taiwan aszály,Taiwanban aszály miatt nem lehet biztosítani a chip gyárak hűtését
