date,event,info
2020-10-20,Tűz félvezető gyárban,A japán Asahi Kasei Microdevices (AKM) félvezető gyárban tűz üt ki
2021-03-19,Tűz chip gyárban,A japán Renesas Electronics mikrokontroller gyártban tűz üt ki
