Date,Open,High,Low,Close,Adj Close,Volume
2016-01-08,45.009998,45.939999,44.009998,44.110001,44.110001,257500
2016-01-11,44.470001,45.040001,43.939999,44.459999,44.459999,175300
2016-01-12,44.860001,45.439999,44.119999,44.820000,44.820000,201000
2016-01-13,44.880001,45.259998,42.930000,43.040001,43.040001,302700
2016-01-14,43.400002,44.430000,43.000000,43.900002,43.900002,209000
2016-01-15,42.509998,43.080002,41.750000,42.459999,42.459999,270200
2016-01-19,43.110001,46.619999,42.330002,42.840000,42.840000,240200
2016-01-20,42.160000,43.840000,41.930000,43.150002,43.150002,253300
2016-01-21,43.430000,43.509998,42.540001,42.910000,42.910000,314100
2016-01-22,43.750000,44.180000,42.950001,43.450001,43.450001,221300
2016-01-25,43.299999,43.619999,42.660000,42.950001,42.950001,245500
2016-01-26,43.090000,43.740002,42.770000,43.410000,43.410000,276600
2016-01-27,43.209999,43.540001,42.599998,42.799999,42.799999,222300
2016-01-28,43.220001,44.049999,43.020000,43.820000,43.820000,222400
2016-01-29,44.200001,45.619999,44.000000,45.599998,45.599998,295800
2016-02-01,45.250000,45.509998,44.520000,45.009998,45.009998,295400
2016-02-02,44.230000,44.439999,42.599998,42.970001,42.970001,329100
2016-02-03,46.299999,47.450001,40.990002,42.209999,42.209999,713900
2016-02-04,42.630001,42.910000,41.830002,42.139999,42.139999,446400
2016-02-05,41.880001,42.410000,40.070000,40.290001,40.290001,371600
2016-02-08,39.779999,40.169998,38.529999,39.470001,39.470001,408900
2016-02-09,38.980000,40.040001,38.639999,38.990002,38.990002,395000
2016-02-10,39.340000,39.810001,37.529999,37.740002,37.740002,607500
2016-02-11,37.259998,37.740002,36.560001,36.939999,36.939999,498200
2016-02-12,37.230000,38.419998,36.779999,37.880001,37.880001,199100
2016-02-16,38.060001,39.720001,38.049999,39.430000,39.430000,212500
2016-02-17,39.480000,40.790001,39.240002,40.340000,40.340000,233900
2016-02-18,40.470001,40.840000,40.040001,40.070000,40.070000,238300
2016-02-19,39.970001,41.040001,39.349998,40.480000,40.480000,190300
2016-02-22,40.770000,41.110001,39.730000,40.439999,40.439999,167700
2016-02-23,40.150002,40.750000,39.930000,39.980000,39.980000,144500
2016-02-24,39.529999,40.669998,39.389999,40.419998,40.419998,221500
2016-02-25,40.570000,40.639999,40.080002,40.380001,40.380001,124500
2016-02-26,40.650002,40.910000,39.959999,40.500000,40.500000,194800
2016-02-29,40.560001,41.730000,40.110001,41.250000,41.250000,244000
2016-03-01,41.509998,42.709999,41.130001,42.680000,42.680000,177000
2016-03-02,43.020000,44.299999,42.910000,43.639999,43.639999,238500
2016-03-03,43.869999,44.730000,43.750000,44.599998,44.599998,346500
2016-03-04,44.680000,45.000000,43.970001,44.650002,44.650002,292900
2016-03-07,44.540001,45.610001,44.209999,44.750000,44.750000,300300
2016-03-08,44.259998,44.730000,43.980000,44.389999,44.389999,287100
2016-03-09,44.709999,45.139999,44.369999,44.840000,44.840000,199700
